State,Year,Week,Cases,Percent
Oklahoma,2017,47,201,0.024374
Oregon,2017,47,553,0.0670588
Pennsylvania,2017,47,717,0.086946
Rhode Island,2017,47,29,0.0035166
South Carolina,2017,47,175,0.0212211
South Dakota,2017,47,198,0.0240102
Tennessee,2017,47,129,0.015643
Texas,2017,47,1023,0.1240526
Utah,2017,47,43,0.0052143
Vermont,2017,47,69,0.0083672
Virginia,2017,47,1878,0.227733
Washington,2017,47,56,0.0067908
West Virginia,2017,47,140,0.0169769
Wisconsin,2017,47,91,0.011035
Wyoming,2017,47,39,0.0047293
Alabama,2017,48,1239,0.1502456
Alaska,2017,48,181,0.0219487
Arizona,2017,48,615,0.0745771
Arkansas,2017,48,129,0.015643
California,2017,48,987,0.1196871
Colorado,2017,48,336,0.0407446
Connecticut,2017,48,98,0.0118838
Delaware,2017,48,5,0.0006063
District of Columbia,2017,48,394,0.0477778
Florida,2017,48,0,0
Georgia,2017,48,1650,0.2000849
Hawaii,2017,48,60,0.0072758
Idaho,2017,48,16,0.0019402
Illinois,2017,48,906,0.1098648
Indiana,2017,48,110,0.013339
Iowa,2017,48,40,0.0048505
Kansas,2017,48,128,0.0155217
Kentucky,2017,48,237,0.0287395
Louisiana,2017,48,3026,0.3669436
Maine,2017,48,40,0.0048505
Maryland,2017,48,111,0.0134603
Massachusetts,2017,48,504,0.0611168
Michigan,2017,48,429,0.0520221
Minnesota,2017,48,100,0.0121264
Mississippi,2017,48,1048,0.1270842
Missouri,2017,48,72,0.008731
Montana,2017,48,3,0.0003638
Nebraska,2017,48,241,0.0292245
Nevada,2017,48,216,0.0261929
New Hampshire,2017,48,27,0.0032741
New Jersey,2017,48,747,0.0905839
New Mexico,2017,48,251,0.0304372
New York,2017,48,275,0.0333475
North Carolina,2017,48,324,0.0392894
North Dakota,2017,48,10,0.0012126
Ohio,2017,48,237,0.0287395
Oklahoma,2017,48,258,0.031286
Oregon,2017,48,529,0.0641484
Pennsylvania,2017,48,888,0.107682
Rhode Island,2017,48,32,0.0038804
South Carolina,2017,48,244,0.0295883
South Dakota,2017,48,230,0.0278906
Tennessee,2017,48,126,0.0152792
Texas,2017,48,1541,0.1868672
Utah,2017,48,59,0.0071546
Vermont,2017,48,73,0.0088522
Virginia,2017,48,2213,0.2683563
